supplier_id,quality_score,delivery_score,flexibility_score,innovation_score,esg_score,risk_score,ppm_simulated,otif_simulated,avg_lead_time_days,response_time_hours,warranty_claim_rate,rnd_ratio,scope3_score,digital_maturity_score
GSUP_00586,88.32,86.76,78.18,50.59,54.1,26.42,564.0,0.8602,13.0,28.2,0.0165,0.1061,42.1,2.3
GSUP_00056,86.27,85.03,92.12,59.95,43.62,41.35,162.0,0.7355,6.1,70.2,0.0094,0.1596,39.6,2.0
GSUP_00281,86.91,84.82,86.0,72.45,61.47,39.87,104.0,0.8297,6.9,7.3,0.0206,0.1897,51.6,3.1
GSUP_00412,80.1,85.54,91.05,66.33,49.9,0.0,311.0,0.7271,6.5,3.0,0.0433,0.1386,44.7,3.0
GSUP_00173,96.19,90.74,94.11,43.64,59.82,23.87,109.0,0.8913,6.9,18.1,0.0018,0.0982,43.8,1.9
GSUP_00023,78.84,80.1,88.64,67.83,51.09,38.03,489.0,0.6832,8.7,16.4,0.0348,0.1717,36.8,2.2
GSUP_00019,91.44,89.19,82.6,47.35,52.35,17.9,276.0,0.8595,9.1,11.7,0.0114,0.1242,42.0,1.6
GSUP_00304,82.63,81.21,62.94,52.69,59.33,30.42,1634.0,0.7343,7.6,77.9,0.028,0.139,39.8,1.9
GSUP_00301,85.12,86.73,95.37,62.41,46.04,44.73,299.0,0.8332,8.4,43.5,0.02,0.1394,35.5,2.2
GSUP_00220,91.88,90.46,68.81,44.28,50.37,31.01,417.0,0.8234,11.4,28.0,0.0242,0.1371,41.6,2.2
GSUP_00274,94.44,93.23,74.17,75.08,82.28,19.81,476.0,0.8024,11.6,6.3,0.0068,0.158,74.8,3.2
GSUP_00057,77.91,81.16,68.11,43.9,45.1,34.82,1425.0,0.7833,16.3,33.8,0.0322,0.0912,38.1,1.6
GSUP_00556,87.38,90.77,75.82,69.81,58.98,26.8,136.0,0.7812,9.3,33.2,0.0228,0.1643,50.3,3.2
GSUP_00265,87.15,90.58,68.89,61.94,62.39,32.07,275.0,0.8952,12.0,15.3,0.0142,0.1394,55.7,2.7
GSUP_00085,76.82,80.37,80.67,56.53,57.64,23.18,313.0,0.6893,7.7,64.1,0.0479,0.1516,41.3,2.0
GSUP_00142,89.16,91.46,87.06,61.45,74.23,21.28,217.0,0.8432,5.4,6.4,0.0152,0.1246,58.6,2.3
GSUP_00562,78.59,81.07,79.64,63.78,69.03,46.74,319.0,0.777,6.8,9.5,0.0219,0.1647,67.4,2.3
GSUP_00014,84.17,81.55,70.52,75.59,70.42,32.72,929.0,0.7413,10.4,3.6,0.0113,0.1581,55.9,3.5
GSUP_00092,84.15,79.6,87.53,78.08,52.86,25.54,307.0,0.7025,15.4,40.1,0.0363,0.1774,47.9,3.1
GSUP_00105,84.93,86.76,89.94,46.81,51.59,23.42,351.0,0.8362,6.3,25.3,0.0098,0.0944,46.1,2.3
GSUP_00444,80.92,83.72,61.76,88.73,79.57,41.64,2524.0,0.8101,9.3,11.1,0.0344,0.1963,56.3,3.4
GSUP_00300,90.7,91.17,82.58,75.93,64.6,22.12,138.0,0.9011,8.9,6.3,0.0162,0.1771,53.2,3.4
GSUP_00174,75.89,81.25,91.05,67.15,55.94,42.79,486.0,0.7365,14.6,3.0,0.0147,0.1435,45.5,2.2
GSUP_00064,87.87,81.69,72.57,53.98,55.66,25.29,615.0,0.7564,9.8,6.4,0.0097,0.1128,46.2,2.6
GSUP_00526,82.5,80.61,80.15,62.47,61.67,23.27,92.0,0.7291,17.4,16.5,0.0243,0.1404,45.6,2.9
GSUP_00537,85.65,86.41,80.82,62.34,52.01,33.7,409.0,0.7678,7.0,8.8,0.0334,0.1605,36.0,2.4
GSUP_00386,87.1,91.0,74.43,42.84,56.78,28.17,122.0,0.8761,6.1,9.2,0.0391,0.0935,43.0,2.0
GSUP_00261,80.08,86.78,80.56,64.39,50.7,40.78,1223.0,0.7819,8.0,52.0,0.0056,0.1346,40.1,2.8
GSUP_00550,84.91,85.95,82.55,70.91,58.45,40.6,265.0,0.7857,7.3,19.4,0.0122,0.1484,52.7,3.2
GSUP_00022,85.27,84.0,93.71,63.08,54.69,28.59,238.0,0.7649,6.2,33.4,0.0082,0.1857,52.8,2.3
GSUP_00576,82.06,79.3,81.45,78.09,75.2,38.67,691.0,0.7588,11.1,2.9,0.0299,0.1651,67.1,3.1
GSUP_00078,82.46,82.48,94.32,34.88,43.09,30.14,169.0,0.8146,10.7,12.9,0.0179,0.0698,38.8,1.8
GSUP_00071,87.14,83.54,71.82,80.09,58.98,37.7,156.0,0.7937,10.4,17.7,0.0195,0.1906,42.2,3.5
GSUP_00320,75.98,83.54,79.89,63.4,57.09,39.28,448.0,0.7692,7.6,7.0,0.0146,0.1508,43.6,2.4
GSUP_00288,71.49,74.14,79.12,71.33,58.71,35.77,749.0,0.7168,10.4,5.1,0.0246,0.1454,48.0,3.2
GSUP_00327,82.98,82.01,84.71,61.52,73.56,26.83,442.0,0.776,7.9,51.0,0.0106,0.2,55.7,2.0
GSUP_00599,85.56,88.89,72.17,48.54,49.9,33.24,468.0,0.7637,5.3,69.3,0.0419,0.1158,42.8,2.2
GSUP_00148,95.94,86.1,92.19,51.93,70.1,37.82,241.0,0.7442,8.3,4.0,0.0031,0.1177,59.7,1.8
GSUP_00481,85.28,86.58,81.68,59.21,56.35,40.4,475.0,0.7408,6.1,12.3,0.0121,0.1281,47.8,2.2
GSUP_00069,77.55,78.67,72.11,43.83,61.41,28.2,309.0,0.7226,7.5,78.2,0.0551,0.1335,54.3,1.7
GSUP_00589,71.43,77.52,66.91,52.73,49.7,32.65,211.0,0.7549,11.7,4.1,0.0455,0.1111,35.2,2.1
GSUP_00356,84.5,87.93,66.53,67.85,74.49,24.46,819.0,0.7887,5.4,26.8,0.0263,0.1424,64.3,2.7
GSUP_00565,94.47,88.51,65.01,68.92,64.29,20.25,328.0,0.8034,14.9,88.0,0.0048,0.1404,47.9,2.8
GSUP_00241,76.34,77.2,67.13,40.03,42.97,20.5,246.0,0.7616,9.7,93.8,0.0399,0.1085,29.7,1.4
GSUP_00344,81.95,77.81,87.44,56.36,69.85,43.58,340.0,0.7591,19.7,17.3,0.018,0.1308,58.5,1.9
GSUP_00578,85.91,87.36,64.75,64.61,55.38,26.28,306.0,0.8297,5.7,6.3,0.0234,0.148,50.4,2.9
GSUP_00070,81.14,79.53,80.92,64.14,60.12,40.19,477.0,0.7079,9.7,7.4,0.0379,0.1332,50.5,2.5
GSUP_00424,90.88,92.38,67.11,52.73,61.57,23.69,310.0,0.8014,5.8,54.9,0.0108,0.1265,49.4,2.1
GSUP_00413,89.18,85.67,76.49,63.29,52.77,29.48,34.0,0.7302,11.4,60.2,0.0288,0.1556,43.8,2.7
GSUP_00575,75.82,80.55,76.14,49.02,39.01,31.07,956.0,0.6976,8.2,24.5,0.0445,0.1069,31.9,2.4
GSUP_00091,86.8,80.49,72.2,44.96,64.7,32.17,63.0,0.7195,7.8,36.9,0.0164,0.1222,46.1,2.0
GSUP_00505,89.47,87.37,76.35,75.77,60.56,20.34,229.0,0.8149,11.4,34.3,0.0351,0.1601,42.2,2.6
GSUP_00290,83.24,85.56,79.57,69.3,50.95,32.5,918.0,0.7355,7.3,28.0,0.0063,0.167,40.4,3.1
GSUP_00378,76.77,78.47,78.96,72.94,67.74,52.65,436.0,0.683,7.4,44.1,0.0186,0.1466,54.6,3.4
GSUP_00167,92.45,87.29,85.09,54.75,55.35,32.8,45.0,0.7656,7.0,29.8,0.0135,0.1255,44.3,2.2
GSUP_00277,77.34,79.1,67.2,54.66,55.55,40.51,2858.0,0.7474,10.4,20.3,0.0344,0.1791,47.8,2.7
GSUP_00450,80.18,79.42,81.05,46.53,53.28,22.89,1320.0,0.7484,8.0,8.5,0.0026,0.1726,41.6,1.9
GSUP_00390,87.88,87.05,82.43,57.5,68.22,35.62,580.0,0.8119,7.3,34.7,0.0149,0.1216,57.4,2.3
GSUP_00428,92.14,89.02,81.55,56.67,62.44,33.87,202.0,0.7902,5.4,17.4,0.0149,0.125,49.2,2.1
